ano,tipo_localizacao,rede,modalidade,grupo,percentual
2016,total,federal,ensinofundamentalanosiniciais,3,7.1000000000000005
2016,rural,total,ensinofundamentalanosiniciais,3,10.700000000000001
2016,urbana,total,ensinofundamentalanosiniciais,3,11
2016,total,total,ensinofundamentalanosiniciais,3,10.9
2016,rural,pública,ensinofundamentalanosiniciais,2,0.4
2016,urbana,pública,ensinofundamentalanosiniciais,2,1
2016,total,pública,ensinofundamentalanosiniciais,2,0.9
2016,rural,privada,ensinofundamentalanosiniciais,2,0.7000000000000001
2016,urbana,privada,ensinofundamentalanosiniciais,2,1.2
2016,total,privada,ensinofundamentalanosiniciais,2,1.2
2016,rural,municipal,ensinofundamentalanosiniciais,2,0.4
2016,urbana,municipal,ensinofundamentalanosiniciais,2,0.9
2016,total,municipal,ensinofundamentalanosiniciais,2,0.8
2016,rural,estadual,ensinofundamentalanosiniciais,2,0.3
2016,urbana,estadual,ensinofundamentalanosiniciais,2,1.6
2016,total,estadual,ensinofundamentalanosiniciais,2,1.5
2016,rural,federal,ensinofundamentalanosiniciais,2,0
2016,total,federal,ensinofundamentalanosiniciais,2,2.7
2016,rural,pública,ensinofundamentalanosiniciais,5,43.300000000000004
2016,rural,municipal,ensinofundamentalanosiniciais,4,2
2016,urbana,pública,ensinofundamentaltotal,5,12
2016,total,municipal,ensinofundamentaltotal,4,3.6
2016,rural,estadual,ensinofundamentaltotal,4,4.9
2016,urbana,estadual,ensinofundamentaltotal,4,4.5
2016,total,estadual,ensinofundamentaltotal,4,4.6000000000000005
2016,rural,federal,ensinofundamentaltotal,4,4.1
2016,urbana,federal,ensinofundamentaltotal,4,6.6000000000000005
2016,total,federal,ensinofundamentaltotal,4,6.6000000000000005
2016,rural,total,ensinofundamentaltotal,4,2.7
2016,urbana,municipal,ensinofundamentaltotal,4,4.1
2016,urbana,total,ensinofundamentaltotal,4,4.3
2016,rural,pública,ensinofundamentaltotal,3,24.900000000000002
2016,urbana,pública,ensinofundamentaltotal,3,17.8
2016,total,pública,ensinofundamentaltotal,3,19.5
2016,rural,privada,ensinofundamentaltotal,3,12.700000000000001
2016,urbana,privada,ensinofundamentaltotal,3,12.700000000000001
2016,total,privada,ensinofundamentaltotal,3,12.700000000000001
2016,rural,municipal,ensinofundamentaltotal,3,25.2
2016,urbana,municipal,ensinofundamentaltotal,3,17.7
2016,total,total,ensinofundamentaltotal,4,4
2016,rural,municipal,ensinofundamentaltotal,4,2.4
2016,total,privada,ensinofundamentaltotal,4,4.4
